Description	Resource	Path	Location	Type
_userloginFlag cannot be resolved to a variable	login_link.jsp	/Web-sx/src/main/webapp/ninclude	line 86	JSP Problem
_userloginFlag cannot be resolved to a variable	login_link.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/ninclude	line 86	JSP Problem
ACCBRTYPE_BIND cannot be resolved or is not a field	ch_write.jsp	/Web-sx/src/main/webapp/npage/school2011	line 89	JSP Problem
ACCBRTYPE_BIND cannot be resolved or is not a field	ch_write.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/npage/school2011	line 89	JSP Problem
ACCBRTYPE_BIND cannot be resolved or is not a field	xyzq_ch_write.jsp	/Web-sx/src/main/webapp/npage/school2011	line 113	JSP Problem
ACCBRTYPE_BIND cannot be resolved or is not a field	xyzq_ch_write.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/npage/school2011	line 113	JSP Problem
ACCBRTYPE_UNBIND cannot be resolved or is not a field	ch_write.jsp	/Web-sx/src/main/webapp/npage/school2011	line 90	JSP Problem
ACCBRTYPE_UNBIND cannot be resolved or is not a field	ch_write.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/npage/school2011	line 90	JSP Problem
ACCBRTYPE_UNBIND cannot be resolved or is not a field	xyzq_ch_write.jsp	/Web-sx/src/main/webapp/npage/school2011	line 114	JSP Problem
ACCBRTYPE_UNBIND cannot be resolved or is not a field	xyzq_ch_write.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/npage/school2011	line 114	JSP Problem
ACCNBRTYPE_ADMIN cannot be resolved or is not a field	include_adminLogin.jsp	/Web-sx/src/main/webapp/ninclude	line 116	JSP Problem
ACCNBRTYPE_ADMIN cannot be resolved or is not a field	include_adminLogin.jsp	/Web-sx/src/main/webapp/ninclude	line 356	JSP Problem
ACCNBRTYPE_ADMIN cannot be resolved or is not a field	include_adminLogin.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/ninclude	line 116	JSP Problem
ACCNBRTYPE_ADMIN cannot be resolved or is not a field	include_adminLogin.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/ninclude	line 356	JSP Problem
areaCode cannot be resolved to a variable	promotion_index.jsp	/Web-sx/src/main/webapp/ninclude	line 25	JSP Problem
areaCode cannot be resolved to a variable	promotion_index.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/ninclude	line 25	JSP Problem
areaCode cannot be resolved to a variable	scrolls_flash_index.jsp	/Web-sx/src/main/webapp/ninclude/nsrcolles	line 38	JSP Problem
areaCode cannot be resolved to a variable	scrolls_flash_index.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/ninclude/nsrcolles	line 38	JSP Problem
areaCode cannot be resolved to a variable	scrolls_flash_other.jsp	/Web-sx/src/main/webapp/ninclude/nsrcolles	line 39	JSP Problem
areaCode cannot be resolved to a variable	scrolls_flash_other.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/ninclude/nsrcolles	line 39	JSP Problem
Attribute value (Auto) uses wrong case character.	estore.html	/Web-sx/src/main/webapp/3gyy	line 57	HTML Problem
Attribute value (Auto) uses wrong case character.	estore.html	/Web-sx/src/main/webapp/3gyy	line 82	HTML Problem
Attribute value (Auto) uses wrong case character.	estore.html	/Web-sx/src/main/webapp/3gyy	line 95	HTML Problem
Attribute value (Auto) uses wrong case character.	estore.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 57	HTML Problem
Attribute value (Auto) uses wrong case character.	estore.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 82	HTML Problem
Attribute value (Auto) uses wrong case character.	estore.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 95	HTML Problem
Attribute value (Auto) uses wrong case character.	igame.html	/Web-sx/src/main/webapp/3gyy	line 56	HTML Problem
Attribute value (Auto) uses wrong case character.	igame.html	/Web-sx/src/main/webapp/3gyy	line 81	HTML Problem
Attribute value (Auto) uses wrong case character.	igame.html	/Web-sx/src/main/webapp/3gyy	line 94	HTML Problem
Attribute value (Auto) uses wrong case character.	igame.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 56	HTML Problem
Attribute value (Auto) uses wrong case character.	igame.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 81	HTML Problem
Attribute value (Auto) uses wrong case character.	igame.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 94	HTML Problem
Attribute value (Auto) uses wrong case character.	iread.html	/Web-sx/src/main/webapp/npage/active/hsyc	line 57	HTML Problem
Attribute value (Auto) uses wrong case character.	iread.html	/Web-sx/src/main/webapp/npage/active/hsyc	line 82	HTML Problem
Attribute value (Auto) uses wrong case character.	iread.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 57	HTML Problem
Attribute value (Auto) uses wrong case character.	iread.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 82	HTML Problem
Attribute value (Auto) uses wrong case character.	tyshixun.html	/Web-sx/src/main/webapp/3gyy	line 63	HTML Problem
Attribute value (Auto) uses wrong case character.	tyshixun.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 63	HTML Problem
Attribute value (No) uses wrong case character.	Android.html	/Web-sx/src/main/webapp/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	Android.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	ct10000_zt_zhangting.html	/Web-sx/src/main/webapp/npage/wapInfo	line 81	HTML Problem
Attribute value (No) uses wrong case character.	ct10000_zt_zhangting.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/npage/wapInfo	line 81	HTML Problem
Attribute value (No) uses wrong case character.	ct10000_zt_zhangting.jsp	/Web-sx/src/main/webapp/npage/wapInfo	line 88	JSP Problem
Attribute value (No) uses wrong case character.	ct10000_zt_zhangting.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/npage/wapInfo	line 88	JSP Problem
Attribute value (No) uses wrong case character.	elive.html	/Web-sx/src/main/webapp/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	elive.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	estore.html	/Web-sx/src/main/webapp/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	estore.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	igame.html	/Web-sx/src/main/webapp/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	igame.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	imusic.html	/Web-sx/src/main/webapp/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	imusic.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	iread.html	/Web-sx/src/main/webapp/npage/active/hsyc	line 12	HTML Problem
Attribute value (No) uses wrong case character.	iread.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	tyshixun.html	/Web-sx/src/main/webapp/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	tyshixun.html	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/3gyy	line 12	HTML Problem
Attribute value (No) uses wrong case character.	web.html	/Web-sx/src/main/webapp/3gyy	line 12	HTML Problem
Attribute value (POST) uses wrong case character.	broadInstall.jsp	/Web-sx/src/main/webapp/WEB-INF/npage/echn/business	line 91	JSP Problem
Attribute value (POST) uses wrong case character.	broadInstall.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/WEB-INF/npage/echn/business	line 91	JSP Problem
Attribute value (POST) uses wrong case character.	paPreAccept.jsp	/Web-sx/src/main/webapp/WEB-INF/npage/echn/business	line 58	JSP Problem
Attribute value (POST) uses wrong case character.	paPreAccept.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/WEB-INF/npage/echn/business	line 58	JSP Problem
Attribute value (POST) uses wrong case character.	smsMessage.jsp	/Web-sx/src/main/webapp/WEB-INF/npage/echn/feequery	line 118	JSP Problem
Attribute value (POST) uses wrong case character.	smsMessage.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/WEB-INF/npage/echn/feequery	line 118	JSP Problem
Attribute value (POST) uses wrong case character.	vpnLogin.jsp	/Web-sx/src/main/webapp/WEB-INF/npage/echn/business	line 71	JSP Problem
Attribute value (POST) uses wrong case character.	vpnLogin.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/WEB-INF/npage/echn/business	line 71	JSP Problem
Attribute value (POST) uses wrong case character.	vpn_groupNumTeam.jsp	/Web-sx/src/main/webapp/WEB-INF/npage/echn/business	line 92	JSP Problem
Attribute value (POST) uses wrong case character.	vpn_groupNumTeam.jsp	/Web-sx/src/main/webapp/WEB-INF/npage/echn/business	line 120	JSP Problem
Attribute value (POST) uses wrong case character.	vpn_groupNumTeam.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/WEB-INF/npage/echn/business	line 92	JSP Problem
Attribute value (POST) uses wrong case character.	vpn_groupNumTeam.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/WEB-INF/npage/echn/business	line 120	JSP Problem
Attribute value (POST) uses wrong case character.	vpn_membersNumTeam_result.jsp	/Web-sx/src/main/webapp/WEB-INF/npage/echn/business	line 109	JSP Problem
Attribute value (POST) uses wrong case character.	vpn_membersNumTeam_result.jsp	/Web-sx/src/main/webapp/WEB-INF/npage/echn/business	line 155	JSP Problem
Attribute value (POST) uses wrong case character.	vpn_membersNumTeam_result.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/WEB-INF/npage/echn/business	line 109	JSP Problem
Attribute value (POST) uses wrong case character.	vpn_membersNumTeam_result.jsp	/Web-sx/target/Web-sx-1.0.0-SNAPSHOT/WEB-INF/npage/echn/business	line 155	JSP Problem
biz_rootpath cannot be resolved to a variable	header.jsp	/Web-sx/src/main/webapp/ninclude/biz	line 179	JSP Problem
biz_rootpath cannot be resolved to a variable	header.jsp	/Web-sx/src/main/webapp/ninclude/biz	line 181	JSP Problem
biz_rootpath cannot be resolved to a variable	header.jsp	/Web-sx/src/main/webapp/ninclude/biz	line 193	JSP Problem
